Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco999, 1, 13925, 635, 261, 5582, 0, 
20, eco999, 1, 9353, 691, 297, 8233, 0, 
30, eco999, 1, 7822, 668, 294, 8890, 0, 
40, eco999, 1, 9308, 751, 281, 6902, 0, 
50, eco999, 1, 13168, 746, 298, 4076, 0, 
60, eco999, 1, 18443, 817, 328, 2047, 0, 
70, eco999, 1, 17443, 769, 306, 4296, 0, 
80, eco999, 1, 20053, 799, 319, 3540, 0, 
90, eco999, 1, 11602, 762, 324, 8315, 0, 
100, eco999, 1, 8434, 706, 296, 8452, 0, 
