Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, 
10, eco999, 1, 0, 3515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10410, 0, 0, 0, 
20, eco999, 1, 0, 7666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1687, 0, 0, 0, 
30, eco999, 1, 0, 3355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4467, 0, 0, 0, 
40, eco999, 1, 0, 2044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7264, 0, 0, 0, 
50, eco999, 1, 0, 4686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8482, 0, 0, 0, 
60, eco999, 1, 0, 7539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10904, 0, 0, 0, 
70, eco999, 1, 0, 3835, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13608, 0, 0, 0, 
80, eco999, 1, 0, 5877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14176, 0, 0, 0, 
90, eco999, 1, 0, 10483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1119, 0, 0, 0, 
100, eco999, 1, 0, 5164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3270, 0, 0, 0, 
