Time,EcoName,NumActiveSites,TreeNumber_pinubank,TreeNumber_querrubr,BasalArea_pinubank,BasalArea_querrubr,
0, eco999, 1, 1, 11, 0.000706858335, 0.0932660303125, 
10, eco999, 1, 1, 11, 0.013273228735, 0.16571900965, 
20, eco999, 1, 1, 11, 0.028352873214999998, 0.272925857125, 
30, eco999, 1, 1, 11, 0.049087384375, 0.4398229639999999, 
40, eco999, 1, 1, 11, 0.08042477056, 0.64292692559, 
50, eco999, 1, 1, 11, 0.11341149285999999, 0.88781406876, 
60, eco999, 1, 1, 11, 0.15205308184, 1.166394792565, 
70, eco999, 1, 1, 11, 0.18857409581499998, 1.4856591405399997, 
80, eco999, 1, 1, 11, 0.22902210054, 1.7757066773349999, 
90, eco999, 1, 0, 11, 0, 2.082954433615, 
100, eco999, 1, 0, 11, 0, 2.3350672397650003, 
