Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 
5, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 
10, eco999, 1, 0, 3287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12648, 0, 0, 
15, eco999, 1, 0, 3287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12648, 0, 0, 
20, eco999, 1, 0, 5008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11500, 0, 0, 
25, eco999, 1, 0, 5008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11500, 0, 0, 
30, eco999, 1, 0, 7173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12532, 0, 0, 
35, eco999, 1, 0, 7173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12532, 0, 0, 
40, eco999, 1, 0, 2107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13727, 0, 0, 
45, eco999, 1, 0, 2107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13727, 0, 0, 
50, eco999, 1, 0, 4034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3088, 0, 0, 
55, eco999, 1, 0, 4034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3088, 0, 0, 
60, eco999, 1, 0, 3968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3593, 0, 0, 
65, eco999, 1, 0, 3968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3593, 0, 0, 
70, eco999, 1, 0, 6800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7208, 0, 0, 
75, eco999, 1, 0, 6800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7208, 0, 0, 
80, eco999, 1, 0, 6913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1590, 0, 0, 
85, eco999, 1, 0, 6913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1590, 0, 0, 
90, eco999, 1, 0, 7132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3420, 0, 0, 
95, eco999, 1, 0, 7132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3420, 0, 0, 
100, eco999, 1, 0, 3686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7058, 0, 0, 
