Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 24, 47, 6, 6, 6, 1, 
10, 32, 32, 405, 242, 57, 1, 
10, 44, 68, 400, 0, 0, 0, 
10, 61, 95, 10, 0, 0, 0, 
10, 64, 66, 118, 0, 0, 0, 
10, 78, 78, 67, 0, 0, 0, 
10, 87, 74, 85, 0, 0, 0, 
10, 91, 43, 91, 0, 0, 0, 
10, 95, 49, 148, 0, 0, 0, 
20, 10, 40, 146, 146, 146, 1, 
20, 11, 90, 116, 116, 232, 3, 
20, 40, 34, 16, 16, 16, 3, 
20, 50, 11, 257, 257, 140, 3, 
20, 70, 34, 261, 0, 0, 0, 
20, 89, 82, 63, 0, 0, 0, 
20, 95, 61, 248, 0, 0, 0, 
20, 99, 46, 557, 0, 0, 0, 
30, 6, 52, 45, 45, 90, 3, 
30, 16, 75, 74, 74, 148, 3, 
30, 17, 5, 34, 34, 122, 4.88, 
30, 40, 62, 39, 39, 39, 3, 
30, 64, 8, 88, 0, 0, 0, 
30, 70, 59, 7, 0, 0, 0, 
30, 80, 2, 477, 0, 0, 0, 
30, 81, 67, 13, 0, 0, 0, 
30, 90, 87, 16, 0, 0, 0, 
30, 92, 48, 423, 0, 0, 0, 
30, 94, 89, 84, 0, 0, 0, 
30, 95, 9, 163, 0, 0, 0, 
40, 4, 39, 375, 363, 244, 1, 
40, 8, 64, 4, 4, 4, 1, 
40, 42, 53, 6, 6, 6, 3, 
40, 51, 22, 238, 236, 67, 3, 
40, 81, 65, 120, 0, 0, 0, 
40, 82, 43, 67, 0, 0, 0, 
40, 82, 56, 64, 0, 0, 0, 
40, 91, 85, 16, 0, 0, 0, 
40, 92, 35, 80, 0, 0, 0, 
50, 8, 6, 57, 0, 0, 0, 
50, 8, 63, 111, 111, 100, 1, 
50, 12, 77, 167, 159, 81, 1, 
50, 22, 61, 400, 400, 280, 1, 
50, 30, 17, 43, 0, 0, 0, 
50, 46, 72, 50, 50, 50, 3, 
50, 53, 57, 168, 0, 0, 0, 
50, 66, 1, 600, 0, 0, 0, 
50, 78, 26, 30, 0, 0, 0, 
50, 86, 64, 62, 0, 0, 0, 
60, 4, 61, 16, 16, 64, 5, 
60, 4, 72, 93, 93, 67, 1, 
60, 4, 95, 70, 28, 140, 5, 
60, 16, 97, 114, 114, 72, 1, 
60, 39, 9, 70, 70, 51, 3, 
60, 41, 83, 317, 0, 0, 0, 
60, 61, 18, 209, 0, 0, 0, 
60, 66, 6, 110, 0, 0, 0, 
60, 72, 5, 11, 0, 0, 0, 
60, 94, 8, 372, 0, 0, 0, 
70, 13, 38, 126, 126, 172, 3, 
70, 15, 73, 11, 1, 2, 3, 
70, 32, 50, 6, 0, 0, 0, 
70, 54, 57, 92, 53, 13, 3, 
70, 60, 57, 27, 0, 0, 0, 
70, 61, 7, 521, 0, 0, 0, 
70, 66, 29, 188, 0, 0, 0, 
70, 72, 4, 28, 0, 0, 0, 
70, 78, 9, 600, 0, 0, 0, 
70, 80, 77, 13, 0, 0, 0, 
70, 90, 40, 107, 0, 0, 0, 
70, 97, 23, 129, 0, 0, 0, 
70, 97, 62, 36, 0, 0, 0, 
80, 2, 88, 18, 18, 32, 3, 
80, 11, 59, 7, 7, 7, 3, 
80, 27, 10, 257, 253, 154, 1, 
80, 33, 88, 202, 0, 0, 0, 
80, 34, 24, 116, 0, 0, 0, 
80, 36, 32, 188, 0, 0, 0, 
80, 46, 16, 78, 0, 0, 0, 
80, 57, 50, 176, 0, 0, 0, 
80, 58, 28, 600, 381, 40, 3, 
80, 86, 37, 29, 0, 0, 0, 
80, 88, 50, 508, 0, 0, 0, 
80, 96, 24, 26, 0, 0, 0, 
80, 96, 31, 170, 0, 0, 0, 
80, 99, 8, 359, 0, 0, 0, 
90, 10, 21, 544, 544, 310, 1, 
90, 44, 49, 349, 0, 0, 0, 
90, 50, 98, 42, 0, 0, 0, 
90, 51, 22, 122, 0, 0, 0, 
90, 53, 41, 43, 18, 5, 3, 
90, 60, 2, 287, 0, 0, 0, 
90, 67, 15, 90, 0, 0, 0, 
90, 72, 41, 107, 0, 0, 0, 
90, 75, 73, 94, 0, 0, 0, 
90, 78, 35, 17, 0, 0, 0, 
90, 80, 51, 51, 0, 0, 0, 
90, 83, 53, 123, 0, 0, 0, 
90, 83, 82, 60, 0, 0, 0, 
100, 4, 42, 600, 600, 488, 3, 
100, 7, 79, 44, 41, 15, 1, 
100, 16, 28, 7, 0, 0, 0, 
100, 18, 78, 134, 133, 56, 1, 
100, 20, 95, 95, 79, 23, 1, 
100, 23, 48, 104, 104, 23, 1, 
100, 37, 12, 31, 23, 6, 3, 
100, 48, 7, 6, 0, 0, 0, 
100, 59, 36, 94, 0, 0, 0, 
100, 86, 18, 101, 0, 0, 0, 
100, 92, 25, 28, 0, 0, 0, 
